hotel,is_canceled,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,meal,country,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,agent,reservation_status,reservation_status_date,arrival_date,date_load,date_load_numeric
Resort Hotel,0,109,0,1,2,0,BB,RUS,0,0,0,A,D,2,Check-Out,2016-01-02,2016-01-01,2024-08-26,1724692037
Resort Hotel,0,109,0,1,2,2,BB,RUS,0,0,0,H,H,2,Check-Out,2016-01-02,2016-01-01,2024-08-26,1724692037
Resort Hotel,1,2,0,1,2,0,BB,PRT,0,0,0,D,D,2,No-Show,2016-01-01,2016-01-01,2024-08-26,1724692037
Resort Hotel,0,88,0,2,2,0,HB,ARG,0,0,0,A,D,2,Check-Out,2016-01-03,2016-01-01,2024-08-26,1724692037
Resort Hotel,1,20,0,2,2,2,BB,PRT,0,0,0,G,G,2,Canceled,2015-12-22,2016-01-01,2024-08-26,1724692037
Resort Hotel,1,76,1,2,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2015-12-20,2016-01-01,2024-08-26,1724692037
Resort Hotel,0,88,0,2,2,1,HB,ARG,0,0,0,A,D,2,Check-Out,2016-01-03,2016-01-01,2024-08-26,1724692037
Resort Hotel,1,113,0,1,2,0,HB,PRT,0,0,0,A,A,3,Canceled,2015-11-16,2016-01-02,2024-08-26,1724692037
Resort Hotel,0,110,2,5,2,0,BB,FRA,0,0,0,D,E,2,Check-Out,2016-01-09,2016-01-02,2024-08-26,1724692037
Resort Hotel,1,103,2,3,2,0,BB,PRT,0,0,0,A,A,2,Canceled,2015-12-12,2016-01-03,2024-08-26,1724692037
Resort Hotel,1,22,2,4,2,0,BB,PRT,0,0,0,E,E,2,Canceled,2015-12-26,2016-01-03,2024-08-26,1724692037
Resort Hotel,1,0,1,1,2,0,BB,PRT,0,0,0,A,A,3,Canceled,2016-01-04,2016-01-04,2024-08-26,1724692037
Resort Hotel,1,3,1,2,2,0,BB,PRT,0,0,0,E,E,2,Canceled,2016-01-04,2016-01-04,2024-08-26,1724692037
Resort Hotel,1,20,1,4,2,0,BB,PRT,0,0,0,E,E,2,Canceled,2015-12-26,2016-01-04,2024-08-26,1724692037
Resort Hotel,1,62,1,4,2,0,BB,PRT,0,0,0,E,E,2,Canceled,2015-11-17,2016-01-04,2024-08-26,1724692037
Resort Hotel,1,189,0,5,1,0,BB,PRT,0,0,0,A,A,2,Canceled,2015-12-26,2016-01-05,2024-08-26,1724692037
